CountryCode,Year,"Value(Life expectancy at birth, total (years))","Value(Age dependency ratio, old (% of working-age population))","Value(Birth rate, crude (per 1,000 people))"
BLR,2000,68.91219512,19.79488493,9.4
BEL,2000,77.72195122,25.82708424,11.4
BLZ,2000,68.41887805,7.059682957,29.876
BEN,2000,55.1882439,5.629057448,42.707
BMU,2000,77.88536585,,13.5
BTN,2000,60.65039024,6.880649091,27.601
BOL,2000,60.69004878,8.944033845,30.905
BIH,2000,74.26073171,15.68080791,10.168
BWA,2000,48.69363415,4.976496077,27.502
BRA,2000,70.04197561,7.739188209,20.894
BRN,2000,75.28880488,3.60576164,21.852
BGR,2000,71.66341463,24.47653637,9
BFA,2000,50.34592683,5.478781853,46.256
BDI,2000,51.4854878,5.990439899,42.571
CPV,2000,69.72439024,9.875886289,28.198
KHM,2000,58.35087805,5.568251904,28.06
CMR,2000,51.93587805,6.602405843,41.203
CAN,2000,79.23658537,18.37575582,10.9
CAF,2000,44.59729268,7.290354968,39.325
TCD,2000,47.57807317,5.927731891,50.855
CHI,2000,77.5145122,20.91349929,10.992
CHL,2000,76.82082927,11.82185989,16.741
CHN,2000,72.14073171,9.739782107,14.03
COL,2000,70.98870732,7.44072026,20.959
COM,2000,59.43890244,5.551405151,37.661
ZAR,2000,50.00287805,5.712771952,47.089
COG,2000,50.58987805,6.681792546,38.882
CRI,2000,77.42268293,8.964840846,19.499
CIV,2000,46.69939024,5.265523966,40.838
HRV,2000,72.80780488,23.193481,9.8
CUB,2000,76.64480488,14.43414782,13.125
CUW,2000,,15.85249208,
CYP,2000,77.97168293,15.18257134,13.244
CZE,2000,74.96829268,19.67688158,8.9
DNK,2000,76.59268293,22.30396391,12.6
DJI,2000,57.01034146,5.475654478,31.186
DOM,2000,70.63373171,8.580455054,25.167
ECU,2000,72.94417073,8.287905642,24.922
EGY,2000,68.5907561,8.655567727,25.008
SLV,2000,68.71704878,9.501919751,24.083
GNQ,2000,52.10863415,6.962932623,39.303
ERI,2000,56.02502439,,
EST,2000,70.41707317,3.676538733,36.64
ETH,2000,51.93034146,22.28580654,9.4
FRO,2000,78.43658537,6.138012116,43.69
FJI,2000,67.60585366,5.581729825,24.739
FIN,2000,77.46585366,22.29059432,11
FRA,2000,79.05609756,24.7321139,13.3
PYF,2000,72.45,6.715478552,19.961
GAB,2000,59.3394878,10.98193354,33.22
GMB,2000,55.57607317,5.279972643,45.269
GEO,2000,71.63034146,19.07004707,11.964
DEU,2000,77.92682927,23.68502661,9.3
GHA,2000,56.98709756,5.434927191,34.589
GRC,2000,77.88780488,24.87344086,9.5
GRL,2000,66.89268293,,15.6
GRD,2000,70.25160976,13.58060798,19.399
GUM,2000,75.09802439,8.344538321,21.936
GTM,2000,67.74270732,7.468868236,34.748
GIN,2000,51.24290244,6.518152765,42.777
GNB,2000,51.44543902,6.366974983,40.876
GUY,2000,64.97314634,7.023850985,25.64
HTI,2000,57.67604878,7.333806477,31.125
HND,2000,70.49419512,7.293472719,31.52
HKG,2000,80.87804878,15.33912916,8.1
HUN,2000,71.24634146,22.26436198,9.6
ISL,2000,79.65365854,17.78463218,15.3
IND,2000,62.63063415,7.240482171,26.459
IDN,2000,66.24687805,7.289274782,21.518
IRN,2000,70.13719512,6.922317042,18.785
IRQ,2000,70.82992683,6.47322627,35.882
IRL,2000,76.53658537,15.49807763,14.4
ISR,2000,78.95365854,16.19489128,21.7
ITA,2000,79.77804878,26.74697025,9.5
JAM,2000,70.47129268,13.22177245,20.7
JPN,2000,81.07609756,25.19290077,9.4
JOR,2000,71.7797561,5.436066216,31.174
KAZ,2000,65.51707317,10.40581873,14.7
KEN,2000,50.78517073,5.271941609,38.35
KIR,2000,63.95068293,5.853108289,30.583
PRK,2000,64.98256098,8.695717061,17.904
KOR,2000,75.83536585,10.23251866,13.3
KSV,2000,67.95121951,,22.8
KWT,2000,73.35521951,2.929689514,23.854
KGZ,2000,68.55853659,9.183387675,19.8
LAO,2000,58.8792439,6.711010934,31.91
LVA,2000,70.31463415,22.40963916,8.6
LBN,2000,74.39082927,11.06293302,18.535
LSO,2000,47.18297561,8.327648779,31.443
LBR,2000,52.40912195,5.769158909,42.765
LBY,2000,70.57253659,5.959305984,21.859
LIE,2000,76.82682927,,12.9
LTU,2000,72.0195122,20.93655553,9.8
LUX,2000,77.87317073,21.01210987,13.1
MAC,2000,77.62282927,10.55332389,9.069
MKD,2000,73.24219512,13.49200107,13.297
MDG,2000,58.47280488,5.766768024,41.123
MWI,2000,44.07992683,5.883642117,44.475
MYS,2000,72.86778049,6.401101443,22.543
MDV,2000,70.05970732,6.619180544,22.761
MLI,2000,48.89643902,6.514096438,48.466
MLT,2000,78.2,17.23530989,11.5
MHL,2000,65.23902439,,
MRT,2000,60.01739024,5.880909297,38.229
MUS,2000,71.66341463,9.01782533,17
MEX,2000,74.29973171,8.253176642,24.245
FSM,2000,67.2752439,6.650033267,29.906
MDA,2000,66.898,14.03786115,11.785
MNG,2000,62.91387805,5.997685924,19.327
MNE,2000,74.02136585,17.26779193,13.337
MAR,2000,68.49760976,8.564317606,21.573
MOZ,2000,48.68660976,5.998209358,44.784
MMR,2000,62.078,7.517682713,24.318
NAM,2000,55.12070732,5.889413392,31.546
NPL,2000,62.32663415,6.829388065,32.137
NLD,2000,77.98780488,19.96648073,13
NCL,2000,75.16341463,9.089409909,21.4
NZL,2000,78.63658537,17.96363527,14.66
NIC,2000,69.65807317,6.787721224,26.879
NER,2000,50.69795122,4.991012315,53.251
NGA,2000,46.624,5.220319868,42.965
NOR,2000,78.63414634,23.40366551,13.2
OMN,2000,72.35658537,4.080043425,24.238
PAK,2000,62.77317073,7.47321831,32.018
PLW,2000,70.49365854,,14.5
PAN,2000,75.10197561,8.831609622,23.182
PNG,2000,58.79929268,4.358454453,34.802
PRY,2000,70.07468293,7.738850151,27.079
PER,2000,70.50743902,8.038242063,24.1
PHL,2000,66.68212195,5.541111738,29.635
POL,2000,73.74878049,17.93452948,9.9
PRT,2000,76.31463415,24.02621387,11.7
PRI,2000,76.68926829,17.37992977,15.59
QAT,2000,76.4955122,2.315578778,19.543
ROM,2000,71.16341463,20.06209261,10.4
RUS,2000,65.34146341,17.95163591,8.7
RWA,2000,48.19236585,6.236398877,40.697
WSM,2000,69.48731707,8.163265306,30.595
SMR,2000,80.6195122,,
STP,2000,63.29253659,9.230791313,39.024
SAU,2000,72.52621951,4.870292407,26.275
SEN,2000,57.76580488,6.157487409,39.942
SRB,2000,71.58292683,20.93604986,9.8
SYC,2000,,12.22512835,18.6
SLE,2000,38.69014634,4.682135626,44.634
SGP,2000,77.95121951,10.30499988,11.8
SVK,2000,73.05121951,16.49997524,10.2
SVN,2000,75.41219512,20.12955756,9.1
SLB,2000,62.83673171,5.106125244,35.615
SOM,2000,50.87826829,5.882196498,48.668
ZAF,2000,55.83687805,6.510054785,24.059
SSD,2000,49.21907317,5.810350752,43.088
ESP,2000,78.96585366,24.25777054,9.9
LKA,2000,71.15712195,9.292985753,18.472
LCA,2000,71.42304878,12.57980159,19.553
MAF,2000,76.97073171,,17.4
VCT,2000,70.58212195,11.24061903,19.902
SDN,2000,57.97497561,5.59916867,39.761
SUR,2000,67.92917073,9.122371865,22.186
SWZ,2000,48.66407317,5.623977186,32.525
SWE,2000,79.64390244,26.84803351,10.2
CHE,2000,79.6804878,22.7486962,10.9
SYR,2000,73.33029268,6.02374432,30.471
TJK,2000,63.69529268,6.61333858,30.583
TZA,2000,50.46534146,5.43117571,41.917
THA,2000,70.63407317,9.452351009,14.435
TMP,2000,59.48141463,4.773097268,42.544
TGO,2000,53.46868293,5.400938257,39.717
TON,2000,70.76043902,10.24025998,28.303
TTO,2000,68.59643902,9.624204266,14.715
TUN,2000,72.6,10.56306057,17.1
TUR,2000,69.99836585,9.465025553,21.456
TKM,2000,63.89929268,7.23360235,23.663
UGA,2000,46.41997561,5.709709716,48.355
UKR,2000,67.8595122,19.97952352,7.8
ARE,2000,74.45153659,1.43813587,16.399
GBR,2000,77.74146341,24.30368332,11.5
USA,2000,76.63658537,18.54508185,14.4
URY,2000,74.68597561,20.98749217,16.398
UZB,2000,66.94078049,7.968050985,21.4024803
VUT,2000,67.555,6.055115951,32.443
VEN,2000,72.34612195,7.063552686,23.717
VNM,2000,73.63112195,10.37417188,17.306
VIR,2000,76.6195122,13.08275959,14.4
WBG,2000,70.90746341,4.553784281,40.9
YEM,2000,60.45636585,5.706538987,39.319
ZMB,2000,43.45668293,5.440232768,44.161
ZWE,2000,41.68943902,5.921560948,32.945
