CountryCode,Year,"Value(Life expectancy at birth, total (years))","Value(Age dependency ratio, old (% of working-age population))","Value(Birth rate, crude (per 1,000 people))"
ARB,2000,67.82694852,7.04146158,28.28283706
CSS,2000,69.43826186,11.07533569,20.0445843
CEB,2000,72.71969035,19.86475225,9.770916089
EAS,2000,71.66283353,10.33606997,15.79670079
EAP,2000,70.69057538,9.158629267,16.40083323
EMU,2000,78.273992,24.05106885,10.63799032
ECS,2000,73.02607189,19.96923456,11.6683914
ECA,2000,68.89565068,14.37070318,15.35400541
EUU,2000,77.15763117,23.30432692,10.59345338
FCS,2000,57.04016147,6.265157405,38.05876837
HPC,2000,52.08254071,5.873371356,42.95291121
HIC,2000,75.97369359,19.8816728,12.34119422
NOC,2000,69.7451608,15.23993632,13.71290619
OEC,2000,77.82563692,21.14539278,11.93323937
LCN,2000,71.49815918,8.905089101,22.45940358
LAC,2000,71.0122021,8.129007331,22.9842569
LDC,2000,55.59415138,6.103372176,38.60485613
LMY,2000,65.50943028,8.298540572,24.072445
LIC,2000,52.15507054,6.050922087,41.7405443
LMC,2000,62.82752188,7.526573583,27.36967433
MEA,2000,69.9010077,7.371376417,24.54434436
MNA,2000,69.3649662,7.510266288,24.60867807
MIC,2000,66.80052008,8.479089501,22.36428578
NAC,2000,76.89243196,18.52801309,14.05574542
OED,2000,77.08322334,19.48882742,13.55052766
OSS,2000,56.35376358,7.357173666,31.97843009
PSS,2000,66.70544978,6.059282647,29.0377001
SST,2000,60.5643136,8.293744302,28.66464174
SAS,2000,62.90850757,7.183168775,27.42155686
SSF,2000,50.33939359,5.72806534,41.6811706
SSA,2000,50.33798564,5.726112202,41.68587008
UMC,2000,71.15366554,9.420668009,16.87983199
WLD,2000,67.70487781,10.85472627,21.61104697
AFG,2000,55.12587805,4.54656544,48.332
ALB,2000,74.27207317,11.28989095,18.938
DZA,2000,70.18390244,7.061206466,19.57
ADO,2000,,,11.3
AGO,2000,45.20478049,4.843809794,51.009
ATG,2000,73.39729268,11.11335746,20.24
ARG,2000,73.75580488,15.9597725,19.413
ARM,2000,71.27658537,15.5809575,13.203
ABW,2000,73.72060976,10.94544761,14.187
AUS,2000,79.23414634,18.49250875,13
AUT,2000,78.12682927,22.58694455,9.8
AZE,2000,66.7582439,8.837284401,14.5
BHS,2000,72.25429268,8.18854354,17.619
BHR,2000,74.5994878,3.653268135,21.165
BGD,2000,65.34797561,6.469727543,27.626
BRB,2000,73.2195122,17.32487411,13.79
